time_ms,power_w
3,79.957
4,79.957
5,79.957
6,79.957
7,79.957
9,79.957
10,79.957
11,79.957
12,79.957
13,79.957
14,79.957
15,79.957
16,79.957
18,79.957
19,79.957
20,79.957
21,79.957
22,79.957
26,79.851
27,79.851
28,79.851
29,79.851
30,79.851
31,79.851
32,79.851
33,79.851
34,79.851
35,79.851
36,79.851
38,79.851
39,79.851
40,79.851
41,79.851
42,79.851
43,79.851
44,79.851
45,79.851
46,79.851
47,79.851
48,79.851
49,79.851
50,79.851
51,79.851
52,79.851
53,79.851
55,79.851
56,79.851
57,79.851
58,79.851
59,79.851
60,79.851
61,79.851
62,79.851
63,79.851
64,79.851
65,79.851
66,79.851
67,79.851
68,79.851
69,79.851
70,79.851
72,79.851
73,79.851
74,79.851
75,79.851
76,79.851
77,79.851
78,79.851
79,79.851
80,79.851
81,79.851
82,79.851
83,79.851
84,79.851
85,79.851
86,79.851
88,79.851
89,79.851
90,79.851
91,79.851
92,79.851
93,79.851
94,79.851
95,79.851
96,79.851
97,79.851
98,79.851
99,79.851
100,79.851
101,79.851
102,79.851
103,79.851
105,79.851
106,79.851
107,79.851
108,79.851
109,79.851
110,79.851
111,79.851
112,79.851
113,79.851
114,79.851
115,79.851
116,79.851
117,79.851
118,79.851
119,79.851
120,79.851
122,79.851
123,79.851
124,79.979
125,79.979
126,79.979
127,79.979
128,79.979
129,79.979
130,79.979
131,79.979
132,79.979
133,79.979
134,79.979
135,79.979
136,79.979
138,79.979
139,79.979
140,79.979
141,79.979
142,79.979
143,79.979
144,79.979
145,79.979
146,79.979
147,79.979
148,79.979
149,79.979
150,79.979
151,79.979
152,79.979
153,79.979
155,79.979
156,79.979
157,79.979
158,79.979
159,79.979
160,79.979
161,79.979
162,79.979
163,79.979
164,79.979
165,79.979
166,79.979
167,79.979
168,79.979
169,79.979
170,79.979
172,79.979
173,79.979
174,79.979
175,79.979
176,79.979
177,79.979
178,79.979
179,79.979
180,79.979
181,79.979
182,79.979
183,79.979
184,79.979
185,79.979
186,79.979
187,79.979
189,79.979
190,79.979
191,79.979
192,79.979
193,79.979
194,79.979
195,79.979
196,79.979
197,79.979
198,79.979
199,79.979
200,79.979
201,79.979
202,79.979
203,79.979
205,79.979
206,79.979
207,79.979
208,79.979
209,79.979
210,79.979
211,79.979
212,79.979
213,79.979
214,79.979
215,79.979
216,79.979
217,79.979
218,79.979
219,79.979
220,79.979
222,79.979
223,79.979
224,79.979
225,79.979
226,79.979
227,79.979
228,79.979
229,79.979
230,79.979
231,79.979
232,79.979
