time_ms,power_w
0,137.685
1,137.685
2,137.685
3,137.685
4,137.685
5,137.685
6,137.685
7,137.685
8,137.685
9,137.685
10,137.685
11,137.685
12,137.685
13,137.685
14,137.685
15,137.685
16,137.685
17,137.685
18,137.685
19,137.685
20,137.085
21,137.085
22,137.085
23,137.085
24,137.085
25,137.085
26,137.085
27,137.085
28,137.085
29,137.085
30,137.085
31,137.085
32,137.085
33,137.085
34,137.085
35,137.085
36,137.085
37,137.085
38,137.085
39,137.085
40,135.604
41,135.604
42,135.604
43,135.604
44,135.604
45,135.604
46,135.604
47,135.604
48,135.604
49,135.604
50,135.604
51,135.604
52,135.604
53,135.604
54,135.604
55,135.604
56,135.604
57,135.604
58,135.604
59,135.604
60,135.604
61,135.931
62,135.931
63,135.931
64,135.931
65,135.931
66,135.931
67,135.931
68,135.931
69,135.931
70,135.931
71,135.931
72,135.931
73,135.931
74,135.931
75,135.931
76,135.931
77,135.931
78,135.931
79,135.931
80,137.085
81,137.085
82,137.085
83,137.085
84,137.085
85,137.085
86,137.085
87,137.085
88,137.085
89,137.085
90,137.085
91,137.085
92,137.085
93,137.085
94,137.085
95,137.085
96,137.085
97,137.085
98,137.085
99,137.085
100,136.812
101,136.812
102,136.812
103,136.812
104,136.812
105,136.812
106,136.812
107,136.812
108,136.812
109,136.812
110,136.812
111,136.812
112,136.812
113,136.812
114,136.812
115,136.812
116,136.812
117,136.812
118,136.812
119,136.812
120,136.944
121,136.944
122,136.944
123,136.944
124,136.944
125,136.944
126,136.944
127,136.944
128,136.944
129,136.944
130,136.944
131,136.944
132,136.944
133,136.944
134,136.944
135,136.944
136,136.944
137,136.944
138,136.944
139,136.944
140,137.216
141,137.216
142,137.216
143,137.216
144,137.216
145,137.216
146,137.216
147,137.216
148,137.216
149,137.216
150,137.216
151,137.216
152,137.216
153,137.216
154,137.216
155,137.216
156,137.216
157,137.216
158,137.216
159,137.216
160,137.216
161,81.956
162,81.956
163,81.956
164,81.956
165,81.956
166,81.956
167,81.956
168,81.956
169,81.956
170,81.956
171,81.956
172,81.956
173,81.956
174,81.956
175,81.956
176,81.956
177,81.956
178,81.956
179,81.956
180,81.956
181,69.832
182,69.832
183,69.832
184,69.832
185,69.832
186,69.832
187,69.832
188,69.832
189,69.832
190,69.832
191,69.832
192,69.832
193,69.832
194,69.832
195,69.832
196,69.832
197,69.832
198,69.832
199,69.832
200,69.832
201,67.471
202,67.471
203,67.471
204,67.471
205,67.471
206,67.471
207,67.471
208,67.471
209,67.471
210,67.471
211,67.471
212,67.471
213,67.471
214,67.471
215,67.471
216,67.471
217,67.471
218,67.471
219,67.471
220,67.471
221,66.598
222,66.598
223,66.598
224,66.598
225,66.598
226,66.598
227,66.598
228,66.598
229,66.598
230,66.598
231,66.598
232,66.598
233,66.598
234,66.598
235,66.598
236,66.598
237,66.598
238,66.598
239,66.598
240,66.598
241,66.318
242,66.318
243,66.318
244,66.318
245,66.318
246,66.318
247,66.318
248,66.318
249,66.318
250,66.318
251,66.318
252,66.318
253,66.318
254,66.318
255,66.318
256,66.318
257,66.318
258,66.318
259,66.318
260,66.318
261,66.318
262,66.318
263,66.318
264,66.318
265,66.318
266,66.318
267,66.318
268,66.318
269,66.318
270,66.318
271,66.318
272,66.318
273,66.318
274,66.318
275,66.318
276,66.318
277,66.318
278,66.318
279,66.318
280,66.318
281,66.318
282,66.045
283,66.045
284,66.045
285,66.045
286,66.045
287,66.045
288,66.045
289,66.045
290,66.045
291,66.045
292,66.045
293,66.045
294,66.045
295,66.045
296,66.045
297,66.045
298,66.045
299,66.045
300,66.045
301,66.318
302,66.318
303,66.318
304,66.318
305,66.318
306,66.318
307,66.318
308,66.318
309,66.318
310,66.318
311,66.318
312,66.318
313,66.318
314,66.318
315,66.318
316,66.318
317,66.318
318,66.318
319,66.318
320,66.318
321,66.318
322,66.318
323,66.318
324,66.318
325,66.318
326,66.318
327,66.318
328,66.318
329,66.318
330,66.318
331,66.318
332,66.318
333,66.318
334,66.318
335,66.318
336,66.318
337,66.318
338,66.318
339,66.318
340,66.318
341,66.045
342,66.045
